text,date,user,sentiment,query,__index_level_0__
Went to the park with my BFF. Wanted to get abducted by werewolves. Didn't happen. ,Sat Jun 06 20:15:20 PDT 2009,MelissaRM19,0,NO_QUERY,28821
@zorocaster been a while since i had the charsiew there  its damn good,Wed Jun 24 22:49:35 PDT 2009,icednyior,0,NO_QUERY,7704
@stephjonesmusic YEs  lol,Fri May 29 21:13:32 PDT 2009,summerglow,1,NO_QUERY,994
Hello everyone  Good Morning . . . . why is mascara so difficult to get off???,Sat May 30 21:07:21 PDT 2009,MissStapo,1,NO_QUERY,9653
"sooo, last night was fun. waking up for math wasnt  haha u reap what u sew!",Sat May 02 12:41:51 PDT 2009,VeronicaLovesIT,0,NO_QUERY,8365
"@glenzgolfmmbr now that is deep, and yes I have had a hole in one..very insightful. Thanks  I appreciate the sincerity of that statement.",Sat Apr 18 21:22:13 PDT 2009,GolfTurtle,1,NO_QUERY,6706
I can't believe Jon and Kate filed for divorce ,Mon Jun 22 18:56:08 PDT 2009,RachD123,0,NO_QUERY,42047
@RobertaMarquez Hey Im watching the news LA is packed with people I hope your not crusin down Whittier..is so we will see you on the news ,Sun Jun 14 23:01:44 PDT 2009,JesusBFF,1,NO_QUERY,21463
i forgot to buy a dvd for my friend record the second season of Kyle XY for me  @camilaaq,Wed Jun 17 18:31:38 PDT 2009,paulamneves,0,NO_QUERY,49351
 sorry my twats are all complaints. But i don't want to go to the ER. ,Mon Jun 22 14:07:17 PDT 2009,nequoyah,0,NO_QUERY,42145
@mhittinger: It's a good thing they finished my oil change quickly. We'll have to recreate this at AWP some time... ,Mon Jun 15 06:45:36 PDT 2009,marybid,1,NO_QUERY,49384
@Movens alright! So we'll pay the extra $15 a bag! ,Sat May 30 10:05:42 PDT 2009,LiLLauren99,1,NO_QUERY,45410
hey @TheBellaV  nice site!,Mon Jun 01 16:17:31 PDT 2009,allpornmodels,1,NO_QUERY,13155
#squarespace I broke my leg ,Sat Jun 20 09:03:09 PDT 2009,LoBrauski,0,NO_QUERY,41543
today is my birthday  Happy Birthday Saturn.... (Now I am 22 year old),Fri Jun 05 22:04:29 PDT 2009,saturngod,1,NO_QUERY,3264
@michaelseater http://twitpic.com/6r36p - BEAUTiiFUL PiiCTURE ,Sat Jun 06 09:43:58 PDT 2009,MlleAckles,1,NO_QUERY,15508
"@richardwolak Thanks so much for the tweet, Richard.  ",Sun May 03 21:26:43 PDT 2009,jeremylim,1,NO_QUERY,19044
&lt;- wants to be drunk making music ,Thu May 28 22:15:12 PDT 2009,Charliemmure,0,NO_QUERY,1074
@spouseaggro I also recently played through The Witcher. Really rocked my socks. High quality RPG ,Mon Jun 01 21:47:31 PDT 2009,Teppotastic,1,NO_QUERY,38331
@fourstar valuable screen space taken up by men in short shorts? that could be used for even more geeky statistics ,Sun May 10 09:08:31 PDT 2009,sidepodcast,0,NO_QUERY,44264
"@ena2345 hehe, thanks ",Sat Apr 18 15:00:01 PDT 2009,freeeky,1,NO_QUERY,46705
@gympanzi Better now...thanks ,Fri May 29 21:01:37 PDT 2009,trixietreats,1,NO_QUERY,11096
Army of Me was awesome! Saw some of my favorite people   tomorrow- VA Beach! Nkotb and maybe the pietasters.,Thu Jun 04 22:28:57 PDT 2009,amberfoster,1,NO_QUERY,14417
@gloriabell Too funny (and so true). It only gets scary when you have the box of bonbons next to the laptop ,Sat Jun 06 07:19:40 PDT 2009,dariasteigman,1,NO_QUERY,40876
"@StaceyMonk haha, sure no problem ",Sat May 30 06:10:55 PDT 2009,joseeight,1,NO_QUERY,21872
@msJodiOdie its such a sad situation. Though 1-in-3 of us will be beaten. In US every 15 seconds &amp; 3 killed a day. It's sadly commonplace ,Tue Apr 07 00:38:37 PDT 2009,saragwin,0,NO_QUERY,30367
Needs 2 do some jogging but can't b bothered 2 get off the sofa - not a good start!!!!!!!!!!! ,Mon Jun 01 15:36:29 PDT 2009,Jahadeen,0,NO_QUERY,47797
found out that my phone is not serviced by twitter ,Mon May 04 03:01:25 PDT 2009,rouiller,0,NO_QUERY,19687
&quot;jackie get it thru ur head ily&quot; -- I miss them words ,Sun Jun 07 05:13:44 PDT 2009,MiSzJAcXzBaYBeE,0,NO_QUERY,8776
@Drattigan I can finish it on my own too ,Sun Jun 21 09:02:09 PDT 2009,yamstersg,0,NO_QUERY,4222
@verwon well thats good   he seemed to really enjoy hanging out with mom ;),Mon Jun 15 08:31:04 PDT 2009,scarletmandy,1,NO_QUERY,9001
"just came from having a fabulous lunch/breakfast/dinner with mj, suzie, and rebbabie off to study so more ",Mon Jun 15 16:42:46 PDT 2009,lequartz,0,NO_QUERY,13679
My ass is all wet! ,Mon Jun 15 12:47:16 PDT 2009,MichellexDemise,0,NO_QUERY,12553
cant sleep  ughhhhhh,Tue Apr 21 00:35:33 PDT 2009,kaytsanders,0,NO_QUERY,3318
eye hurts ,Tue Apr 07 04:54:29 PDT 2009,iamcheerbear,0,NO_QUERY,30552
i wish my phone could play videos  cant wait til i get my computer back,Fri May 22 00:02:32 PDT 2009,iYNGLEO,0,NO_QUERY,3818
i can't believe that kid ditched me at the dance!  i got tricker!,Wed Jun 17 20:15:26 PDT 2009,joycey01,0,NO_QUERY,812
@mussomitchel will you make my little sister superrr happy and say hi to her?  @KTLEH &lt;-- her name's Katerina,Sat Apr 18 22:42:45 PDT 2009,McKayla_JB,1,NO_QUERY,36776
Saw a rainbow earlier    http://twitpic.com/6tbix lightning on the way back was INSANE! awesome day tho.....I'm beat..goin to bed....,Sat Jun 06 23:17:37 PDT 2009,laurxx210,1,NO_QUERY,47089
now smells like Asian after cooking dinner. ,Wed Jun 17 19:25:48 PDT 2009,kamanaka,0,NO_QUERY,1430
@mileycyrus I surely will ,Sat May 30 22:35:16 PDT 2009,MannyBlue,1,NO_QUERY,2197
what a long hot day...ahhh i miss my bed ,Mon May 18 00:16:18 PDT 2009,mistah_quy,0,NO_QUERY,3105
@aplusk is so hot! Decided to watch What Happens in Vegas first. ,Tue Jun 02 03:37:40 PDT 2009,MaxeneMagalona,1,NO_QUERY,23738
OFFLINEEEEE ,Sun Jun 07 17:02:25 PDT 2009,nikkixoily,1,NO_QUERY,9529
says Trojan infested my laptop again...now im demoted  http://plurk.com/p/13qr5k,Wed Jun 24 21:51:14 PDT 2009,princess967,0,NO_QUERY,26615
is all of a sudden tired and is going to go to bed. Fun day planned for tomorrow! ,Tue May 26 22:05:33 PDT 2009,jojo23muffins,1,NO_QUERY,30749
Too many Folkers M.I.A. again. ,Fri Jun 19 01:20:58 PDT 2009,leonakimeera,0,NO_QUERY,34494
"@Alison_London You're right, June Birthdays are the best ",Mon Jun 01 01:19:34 PDT 2009,Jo_Parker,1,NO_QUERY,30365
it's jamming session and listening to jazz. i love jazz it's always makes me feel chill out ,Sat May 30 00:10:11 PDT 2009,Varrabelle,1,NO_QUERY,7119
is getting ready to go to Bethel 54's last meeting ever. ,Sun Jun 07 10:11:23 PDT 2009,LovesIreland,0,NO_QUERY,34110
Its raining hella hard and I have to drive around in it.  enough of spring and more of summer plz!,Tue Jun 16 13:29:53 PDT 2009,SimoneIsTheName,0,NO_QUERY,49842
"Hoping no rain, roof has small leak ",Sat Jun 20 16:36:09 PDT 2009,whitecivic99,0,NO_QUERY,6340
@jesse_la oh hayell no. I'm glad u didn't! What would I do without u! Lol  today has been so boring! What'd u do today?,Sat Jun 06 01:54:08 PDT 2009,kridrules,1,NO_QUERY,14675
@JeJa6 i know my Favorite Sun Flower im starting to forget how you look  lol we have to have a hw night;),Thu Jun 18 18:12:36 PDT 2009,LaDyZonTa5,0,NO_QUERY,22004
@garygomusic woop!!  Glad everything is going fantastically!! Looking forward to the video  xx,Sat Jun 06 16:33:01 PDT 2009,disco_di,1,NO_QUERY,11976
@nileylovestory yea true be the bigger person &amp; let them be delusional  arent u sad mileys goin 2 europe? No nileyness :/,Fri Apr 17 21:57:35 PDT 2009,AnnetteStatus,1,NO_QUERY,47434
Now back 2 da lil things dat make me happy ,Mon Jun 15 23:46:22 PDT 2009,DEFiiANT,1,NO_QUERY,21879
@twinkleboi very hard but stuck at it and well 13 years later still doing it ,Tue Jun 02 11:04:04 PDT 2009,shellrawlins,1,NO_QUERY,39911
Im so glad to have my ipod back that tears keep randomly rolling down my face and plunging off my permanent smile ,Sun Jun 07 20:39:29 PDT 2009,christinadenise,1,NO_QUERY,6943
@mistajayyy can i still eat nuggets though? i wish you had shared with me!! ,Mon Jun 01 00:19:07 PDT 2009,H3LLOM3LISSA,0,NO_QUERY,10227
"@boredwife thanks lovely lady, love your tatt  hows tricks? xx",Mon Jun 15 05:30:41 PDT 2009,nikki_morris,1,NO_QUERY,17789
@JustinMGaston I will be your friend ;) ,Mon Jun 15 08:39:14 PDT 2009,marliesharting,1,NO_QUERY,7283
english exam today .. boring ! eating cookies though and that's yummie ^^ follow me ,Thu May 28 23:35:30 PDT 2009,popkizz,1,NO_QUERY,6398
"@STARBUCK_NOLA I come highly recommended from @NOCrimeExaminer, so please follow me. ",Mon Jun 15 18:58:25 PDT 2009,NOCSExaminer,1,NO_QUERY,11615
#myweakness- havin ya girl ya wife in &quot;love&quot; wit trey thongz n can't do nothin bout it... ,Fri May 29 18:06:52 PDT 2009,SkE342,0,NO_QUERY,28284
@x_Vivaldi_x Their header teases me with longcat and it makes me sad. ,Mon Jun 01 19:52:56 PDT 2009,beware,0,NO_QUERY,48557
And I love Viki and we are the best team..smile-laugh team ,Mon Jun 15 03:51:58 PDT 2009,Caprice_POV,1,NO_QUERY,20724
@lynnliying * EH. david is my new husband alright! and he will 'always be MY baby&quot;  oh that sexy voice of his!!!,Fri May 29 09:56:36 PDT 2009,paulinetay,1,NO_QUERY,45391
Some things are so unfair ,Sun Apr 19 12:30:00 PDT 2009,Pawluhhh,0,NO_QUERY,24733
I'm sad.  And my heart's dropped. I'm just tired of everything.,Sun Jun 07 17:42:51 PDT 2009,AngelsTurtle,0,NO_QUERY,2152
Getting 1263 kbps down / 354 kbps up / 362 ms ping with 3G. My WiFi at home is 304/315/303. ,Sat Jun 20 18:05:34 PDT 2009,nathanp,0,NO_QUERY,28424
@candeborio Yes I am ,Mon Jun 15 09:07:34 PDT 2009,moipaprika,1,NO_QUERY,49267
@rknap14 thanks  cook again? what are you caught up with?,Mon Jun 15 11:54:35 PDT 2009,purplefoodie,1,NO_QUERY,37751
@iron_wine ,Wed Jun 03 06:46:44 PDT 2009,trigger_101,1,NO_QUERY,41029
i looove having nothing to do   Too bad that means i'm living off the 45 dollars i got from coin star....,Fri Jun 05 12:24:13 PDT 2009,nikkimades,1,NO_QUERY,39046
"@JaysFreaky Aww, poor Jason.  I'll totally cuddle with you!",Tue Jun 16 13:10:51 PDT 2009,Ramen_Noodle,0,NO_QUERY,16408
"@tommcfly hey tom, how you feeling 2day??? i just ordered the new DVD, hope it comes sson, cant wait to see it!! LOOKS GOOD   xoxoxo",Mon May 18 06:18:30 PDT 2009,McflyGal,1,NO_QUERY,37712
@thatboymeta im very sorry for your loss sweety  and im here if you need me.. my phone dead so cnt call but if u wanna talk im here!,Fri Jun 19 02:19:09 PDT 2009,_christy_,0,NO_QUERY,26320
Happy Mother's Day. . .  ,Sun May 10 00:42:01 PDT 2009,gabzpanda,1,NO_QUERY,44158
wweeeeeee #Bleach 222 time  ,Tue Jun 02 22:15:22 PDT 2009,LuvableSole,1,NO_QUERY,22708
"@miazevedo Thanks, bb!  I better. YOU CAN DO IT TOO. I BELIEVE IN YOUUU.",Fri Jun 05 09:12:31 PDT 2009,MissLaura317,1,NO_QUERY,24218
Day for at Lake West.... SERIOUSLY!!! Where is my french toast? Where is my MRI? I want to go home ,Sun Jun 07 06:57:31 PDT 2009,bedposts,0,NO_QUERY,29532
jesus...it's not a good time for detroit sports vs pittsburgh sports...our baseball team can't even beat THEIR damn baseball team ,Sun Jun 14 23:01:25 PDT 2009,optibotimus,0,NO_QUERY,13948
just took a test in accounting  blah,Tue Jun 02 05:28:52 PDT 2009,whspr2ascrm,0,NO_QUERY,25827
"I am a pacifist with everyone else, but not her  @vagelisv",Fri Jun 05 11:38:38 PDT 2009,flukewoman,1,NO_QUERY,7346
Mannn i have games on thursday and friday @ 6  just got our tshirts for summerleague but theyre not that niceee !,Mon Jun 22 16:21:07 PDT 2009,sallyham,0,NO_QUERY,22072
"@JoelMadden Be nice, she's preggo. lol  ",Mon Jun 15 00:24:16 PDT 2009,gc_luver890,1,NO_QUERY,20727
@platypus_rex but it inspires me to have all the strength of a raging fire! ,Sun May 31 00:36:30 PDT 2009,oantinous,0,NO_QUERY,13549
It's way too hot for my liking! Missing the pleasant weather!! ,Tue Jun 16 01:33:22 PDT 2009,ginavalakuzhy,0,NO_QUERY,32599
@CuteM101.....David_Henrie just said &quot;Penguins!!!!&quot;....it comes between our public convo...  I do too.....,Sat Jun 06 18:15:37 PDT 2009,aziancutiepie,1,NO_QUERY,43557
Oh thank the Lord I'm done my paper! I am beyond tired and I still got a long day ahead of me ,Thu May 14 06:37:13 PDT 2009,LesliePedernal,0,NO_QUERY,36924
@LeanneBennett my pleasure  thanks for sharing with me the good news too. much appreciated *Smiles* makde my heart smiled,Sat May 30 13:43:17 PDT 2009,maynaseric,1,NO_QUERY,30340
Omw 2 my car. Gonna b late 4 work ,Mon Jun 01 00:18:46 PDT 2009,robot55,0,NO_QUERY,28724
"I &lt;3 Patricia, even though she's mad at me.  Hope you feel better darlin........... ",Sat May 30 21:48:07 PDT 2009,croosa,0,NO_QUERY,10349
"wanted to go to afterprom, but his ride didn't show up ",Sun May 10 00:24:28 PDT 2009,bishopkm,0,NO_QUERY,4447
@samyay Sometime next week I think. ,Sat Apr 18 14:09:45 PDT 2009,darthhamster,1,NO_QUERY,8421
"@Hey_Bawheed wish it was, I only had  a wee scoof ",Mon Apr 20 04:12:08 PDT 2009,ABZQuine,0,NO_QUERY,5763
watching inspirational videos on Big Brothers &amp; Big Sisters of America and bawling. ,Tue Jun 16 19:22:51 PDT 2009,gracenotkelly,0,NO_QUERY,20156
@WEST_LOWER i think all the blue fans wish he would continue.. ,Fri May 22 08:46:24 PDT 2009,vladgv,1,NO_QUERY,10444
Listening to &quot;Almost Lover&quot; by A Fine Frenzy ... beautiful and so sweetly sad. ,Thu Jun 18 14:36:13 PDT 2009,alydesigns,0,NO_QUERY,23000
"@somesheep no, that is my suggestion ",Mon May 18 03:52:12 PDT 2009,ashalynd,1,NO_QUERY,16328
"@nessa_dynamite tell me about it, my eyes are slowly closing ",Fri Jun 19 16:05:48 PDT 2009,nikkimaltby,0,NO_QUERY,49741
@Daecabhir You're always welcome - just give me a heads-up so I can put down the machete and rinse off the bug spray. ,Sun Jun 07 08:32:41 PDT 2009,CobwebsStir,1,NO_QUERY,4645
"@smart0y lol, sure whatever you say... bes I understood 3/4 of it, its all good ",Sun May 17 11:24:59 PDT 2009,sunshine_,1,NO_QUERY,39157
Crap day.  Bank of America ripped me off w/ overdraft. XM cut off but I paid the bill.,Tue Jun 16 15:28:37 PDT 2009,thea_bee,0,NO_QUERY,14023
i give up. goodnight ,Tue May 26 22:43:19 PDT 2009,meganlattero,1,NO_QUERY,11097
Done...now I can start to enjoy my weekend for like an hour and 15 minutes...ooops ,Sun May 03 19:45:28 PDT 2009,CanadianGir2112,0,NO_QUERY,29900
@queenmidalah I've been reading those... very nice. ,Fri May 29 11:49:36 PDT 2009,chaoticasylum,1,NO_QUERY,19871
Starving.... And I have just been told I can't eat at my desk ,Wed Jun 03 02:59:49 PDT 2009,SweetBullshit,0,NO_QUERY,32484
"Productive day, NEO not done but close, 'bursty' being tested on synthetic graph testsuite AND cms framework tests came back almost clean ",Tue Jun 02 23:37:17 PDT 2009,communicating,1,NO_QUERY,15320
"I don't want to hurt myself from falling again. Let me avoid you. We weren't meant to be, don't let us happen. ",Fri Jun 19 00:55:56 PDT 2009,meeesalicious,0,NO_QUERY,47489
Alba on YouTube here  http://www.youtube.com/Albahouse,Tue Jun 16 03:49:29 PDT 2009,briansimpson,1,NO_QUERY,13010
@thebutchcaucus this is sooo NOT ur last tweet...stop lying to the tweeple  lol YOU HAVE AN ADDICTION!!!,Sun May 03 22:21:51 PDT 2009,LakanStellar,1,NO_QUERY,5995
@misscobley It doesn't fit me either anymore...keeps riding up. Doesn't mean I'm not gonna wear it though! ,Sat Jun 06 20:00:25 PDT 2009,SweetBea,1,NO_QUERY,41934
I want to keep Sleeping   I have to go to the gym! Ok I am getting up now.,Mon Jun 15 04:16:49 PDT 2009,ValleyPrincess,0,NO_QUERY,353
Unsuccessful shopping trip ,Mon Jun 15 18:04:33 PDT 2009,Pinkytowel,0,NO_QUERY,38557
"&quot;IF U Can Dream It, U Can Do It&quot; X Walt Disney, Share Our Dream and see how we did it... at http://short.to/54vm Cheers, Lou-ann ",Mon Apr 20 03:58:19 PDT 2009,loucan,1,NO_QUERY,19154
I've just broken one of my favourite bracelets  &amp; I just saw myself in the mirror. I looked disgusting! Grr.,Mon Jun 22 12:07:33 PDT 2009,PippoBonny,0,NO_QUERY,1604
Has commited the alpha version of my first ever RubyGem ,Mon Jun 01 07:04:28 PDT 2009,lloydpick,1,NO_QUERY,7125
@Cabrissi  oh poor La  I decided not to go. Dammit  Have to get this NPM work done and also some brochures 2 take 2moro 2 busmums thing,Fri Jun 19 22:47:04 PDT 2009,ArieleMoonfire,0,NO_QUERY,47521
@xoxolovebug that's okay! lol i have to finish up a paper for tomorrow anyways. i'll be on tomorrow ,Tue May 26 22:43:26 PDT 2009,staceyisrad,1,NO_QUERY,3140
@jbo2231 sweet dreams to u too. Great talking to u tonight. Talk to u tomorrow ,Fri May 29 21:13:24 PDT 2009,simplowdfan,1,NO_QUERY,47133
awww... @johfinocc &amp; @sydubois are so adorable...even if they're a little twitter challenged    I love my friends,Thu May 14 05:47:59 PDT 2009,megums,1,NO_QUERY,17247
#delongeday #delongeday #delongeday ,Sun May 17 07:27:08 PDT 2009,baah182,1,NO_QUERY,18651
@willyanthony's Bally's pair of shoes is amazing! ,Thu May 28 22:29:00 PDT 2009,ronaldz,1,NO_QUERY,24988
@alexWTrugs voted ,Sat May 30 11:24:38 PDT 2009,xmeganreneex,1,NO_QUERY,45622
well hello twitter folk... gotta go back to work tomorrow.. yes I'm already thinking about it ,Sun Jun 07 09:46:41 PDT 2009,xNicoleAlinex,0,NO_QUERY,40878
So i took a shower a then looked down at my foot and my ankle was bleeding. Turn out i poped a blister. ,Fri Jun 19 23:06:39 PDT 2009,Hypermayk,0,NO_QUERY,31133
I got a cool new phone .  Yeaaa.,Sun Apr 19 10:35:24 PDT 2009,RawrrItsHope,1,NO_QUERY,10784
"@sivanfeigen Mr Smith told us this story about how he lost all of the Year 12 work, and he freaked out about it. But then he found it. ",Mon Jun 15 02:35:06 PDT 2009,darien21,1,NO_QUERY,20223
"About to go get lost in Harahan!! History, Dickory, Dock are connecting streets WTH!! Too country! TTYL!!! ",Mon Jun 01 08:49:16 PDT 2009,SkinnyInTheCity,1,NO_QUERY,17258
I would be making my final E3 video right now if I wasn't so goddamn tired. Jet leg is funny like that. I'll have it up sometime tomorrow ,Fri Jun 05 15:39:45 PDT 2009,coollike,1,NO_QUERY,13190
doing up a new blogskin ,Sun Jun 07 00:05:32 PDT 2009,withinfinityluv,1,NO_QUERY,33357
@stephenfry Few things I've found better for settling myself in after a long trip than wandering around London. ,Tue Apr 07 04:04:39 PDT 2009,mivox,1,NO_QUERY,17923
I'm so tired! ,Fri Jun 19 00:45:28 PDT 2009,yayalovesu,0,NO_QUERY,21201
i am so bloody tired. tomorrow's school and im hatin' it already. *insert bad word*! ,Sun May 10 19:20:25 PDT 2009,biscuit_and_tea,0,NO_QUERY,20168
I'm moving to U City this weekend!!  ,Mon Jun 01 11:30:40 PDT 2009,MissKey,1,NO_QUERY,26427
My thought are with the friends and families of Flight 447.  So sad!,Mon Jun 01 11:17:35 PDT 2009,TeeRodo,0,NO_QUERY,4819
Is shitting herself about her exam tomorrow boo! And my little fishies are sick ,Sun May 31 14:47:35 PDT 2009,Alice_the_pea,0,NO_QUERY,30506
Lol kk got it  grcias love u!,Sat Jun 06 22:09:14 PDT 2009,KatieHellur,1,NO_QUERY,33121
"Off to yoga,yep actually doing it ",Fri May 29 16:42:39 PDT 2009,aracelli,1,NO_QUERY,46918
@partywithneha Another comment on your blog... I am loving this exchange!!! ,Sun May 31 13:22:54 PDT 2009,sambhav6,1,NO_QUERY,49244
"so yeah... im going to sleep... i guess Diablo 2 got the better of my time tonight, lol... I STILL love that game ",Sun Apr 19 23:17:30 PDT 2009,v3lcr0w,1,NO_QUERY,21808
@ashlynn32 workin till 9pm ,Wed Jun 17 09:26:26 PDT 2009,FIAO,0,NO_QUERY,29056
@lil_dude_94 OH MY GOD ITS WELL SAD  sean's a beeeyyaaatch! xx,Tue Apr 07 06:33:36 PDT 2009,thatsarahkid,0,NO_QUERY,2712
